% This dataset is taken from the Penn Machine Learning Benchmark.
% This ARFF is automatically generated.
% The data types of attributes are inferred from the data.
% In particular this means there is some uncertainty as to whether an attribute truly is categorical, numerical or ordinal.

@RELATION led7
@ATTRIBUTE attribute#1 {0,1}
@ATTRIBUTE attribute#2 {0,1}
@ATTRIBUTE attribute#3 {0,1}
@ATTRIBUTE attribute#4 {0,1}
@ATTRIBUTE attribute#5 {0,1}
@ATTRIBUTE attribute#6 {0,1}
@ATTRIBUTE attribute#7 {0,1}
@ATTRIBUTE class {0,1,2,3,4,5,6,7,8,9}
@DATA
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
0,1,1,1,0,0,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,1,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,0,1,0,1,1,4
0,1,1,1,0,0,1,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,1,1,0,4
0,1,1,1,0,1,1,4
0,1,1,1,0,1,0,4
0,1,0,1,0,1,0,4
0,1,0,1,0,1,0,4
0,1,1,1,0,1,0,4
1,0,1,0,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,0,2
0,0,1,1,1,0,1,2
1,0,0,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,1,1,2
1,1,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
0,0,1,1,1,0,1,2
1,0,0,1,1,0,1,2
1,0,1,1,0,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,0,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,1,1,1,0,0,1,5
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,5
1,1,1,1,1,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,0,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,0,0,1,0,1,1,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,0,1,5
1,0,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,0,5
1,1,1,1,1,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,0,1,1,5
1,0,0,1,0,1,1,5
1,0,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,1,1,1,1,1,5
1,1,0,1,0,0,1,5
1,0,0,1,0,1,1,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,0,5
1,1,1,1,1,1,0,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,0,1,0,1,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,8
0,1,1,1,1,1,1,8
1,1,1,1,1,0,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,0,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,0,0,1,1,1,8
1,1,1,0,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
0,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,0,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,0,1,8
1,1,1,1,0,1,1,8
0,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
0,1,1,1,1,1,1,8
1,1,1,0,1,0,1,0
1,1,0,0,1,1,1,0
1,0,1,1,0,1,1,0
1,1,0,1,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,1,0,1,1,0
1,1,0,0,1,1,1,0
0,0,1,0,1,1,1,0
1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,1,0,1,1,1,0
0,1,1,0,1,1,0,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,1,0
1,0,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,0,1,0
1,1,0,0,1,1,1,0
1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,1,1,0,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,0,1,0
1,0,1,0,0,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,1,7
1,0,1,0,0,0,0,7
1,0,1,0,0,1,0,7
1,0,1,1,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,1,1,0,7
1,0,0,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,1,1,7
0,0,1,0,0,1,0,7
1,0,1,1,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,1,0,7
1,0,0,0,0,1,0,7
1,1,0,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,1,1,1,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,1,0,1,0,1,1,6
1,0,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,0,1,6
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
0,1,0,1,1,1,1,6
1,1,1,1,1,1,1,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,0,6
1,1,0,1,1,1,1,6
1,1,0,1,0,1,1,6
1,1,1,1,1,1,1,6
1,0,0,1,1,1,0,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
0,1,0,1,1,0,1,6
1,1,1,1,1,1,0,6
1,1,0,1,1,1,1,6
1,0,0,1,1,1,1,6
1,1,0,1,1,0,1,6
0,1,0,1,1,0,1,6
1,1,0,1,1,0,1,6
1,1,0,1,1,1,1,6
1,1,1,0,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
0,1,0,1,1,1,1,6
1,0,1,0,0,0,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1
0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1
0,0,1,0,1,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,1,1,0,1
0,0,1,0,1,1,1,1
0,0,1,0,0,1,0,1
1,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,1,1,1,0,1,1,9
1,1,1,0,0,1,1,9
1,1,1,1,0,1,1,9
0,1,1,0,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,0,9
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,9
1,1,1,1,0,1,1,9
0,1,1,1,0,0,0,9
1,1,1,1,0,1,1,9
1,1,1,1,0,0,0,9
1,1,1,1,0,1,1,9
1,1,1,0,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,0,9
1,1,1,1,0,1,0,9
1,1,1,1,0,1,1,9
1,1,1,1,0,0,1,9
0,1,1,1,0,1,1,9
1,0,1,1,0,1,1,9
1,1,1,1,1,1,1,9
1,1,1,1,0,1,1,9
1,1,1,0,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,3
1,0,1,0,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
0,0,1,1,1,1,1,3
1,1,1,1,0,1,1,3
1,0,1,1,1,1,1,3
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,0,1,3
1,0,1,0,0,1,0,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,0,0,1,1,3
0,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,1,1,1,3
1,0,1,1,0,1,1,3
1,0,1,0,0,1,1,3
0,1,1,1,0,1,1,3
1,0,0,1,0,1,1,3
1,0,1,1,1,1,1,3
0,1,1,1,0,1,1,4
0,1,1,1,0,1,0,4
0,1,0,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
1,1,1,1,0,1,1,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,0,1,0,1,0,4
1,0,1,1,0,1,0,4
0,1,1,1,0,1,1,4
0,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,0,0,0,0,0,4
0,1,1,1,0,0,0,4
0,1,0,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,0,0,4
0,1,1,1,0,0,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,0,1,0,0,1,2
1,1,1,1,1,0,1,2
1,0,1,1,0,0,1,2
1,0,1,1,1,0,1,2
0,0,1,1,1,0,1,2
1,1,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,0,1,2
1,0,1,0,1,0,1,2
1,0,1,1,1,0,1,2
1,1,1,1,1,0,1,2
1,0,1,1,1,0,0,2
1,0,1,0,1,0,1,2
0,0,1,1,1,0,1,2
1,0,0,1,1,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,1,1,1,1,0,1,2
1,0,1,1,1,0,0,2
0,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,0,1,1,2
1,0,1,0,0,0,1,2
1,0,1,1,1,0,1,2
1,1,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,1,0,1,0,1,1,5
1,0,0,0,0,1,1,5
1,1,0,1,0,1,1,5
1,1,1,0,0,1,1,5
1,1,0,0,0,1,1,5
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,0,1,5
1,1,0,1,0,0,1,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,1,5
0,1,1,1,1,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,0,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,0,0,1,1,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,0,0,1,1,5
1,1,0,0,0,1,1,5
1,1,0,1,0,1,1,5
1,0,0,1,0,1,0,5
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
0,1,1,1,1,0,1,8
1,1,1,1,1,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,1,1,1,1,1,1,8
0,1,1,1,1,1,1,8
1,1,1,1,1,0,1,8
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,0,1,1,0,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,0,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
0,1,1,1,0,1,1,8
1,1,1,1,1,1,1,8
0,1,0,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,0,1,0
1,1,1,0,1,1,1,0
1,0,1,0,1,1,1,0
0,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,0,0,1,1,1,0
1,0,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,0,0,1,1,1,0
0,1,1,0,0,1,1,0
1,1,1,1,1,1,1,0
1,1,1,0,1,1,1,0
0,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,1,0
0,0,1,0,1,1,1,0
0,1,1,0,1,1,1,0
1,0,1,1,1,1,1,0
0,1,1,0,1,1,1,0
1,0,0,0,1,1,1,0
1,0,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,1,1,1,1,0
1,1,0,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,1,0,0,0,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,1,0,0,1,0,7
1,0,1,0,1,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,0,1,0,0,1,0,7
1,0,1,0,1,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,1,0,1,1,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,1,0,7
1,0,1,0,0,1,0,7
0,0,1,0,0,1,0,7
1,1,1,0,0,1,0,7
0,1,1,0,0,1,0,7
1,0,1,0,1,1,1,7
1,0,0,0,0,1,0,7
1,0,1,0,0,1,1,7
1,0,1,0,0,0,0,7
1,0,1,0,0,1,0,7
0,0,1,0,0,1,1,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,1,0,1,0,7
1,0,1,0,1,1,0,7
1,0,1,1,0,1,0,7
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,0,1,1,1,1,6
0,0,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,0,6
1,1,0,1,1,1,0,6
1,1,0,1,1,0,1,6
1,1,0,1,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
0,0,0,0,0,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,0,1,1,1,1,6
1,1,0,0,0,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
0,0,0,1,1,0,1,6
1,1,0,1,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
0,0,0,1,1,1,1,6
1,1,0,1,1,0,1,6
1,0,0,0,1,1,0,6
1,1,0,1,0,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,0,6
0,1,1,0,0,1,0,1
0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,1,1,0,1
0,0,1,0,1,1,0,1
0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,0,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,1,1
1,0,1,0,0,1,0,1
0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
0,0,1,0,1,1,0,1
0,0,1,1,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,1,1
0,0,1,0,0,1,0,1
1,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,1,1,0,0,1,0,1
0,0,1,0,0,1,0,1
0,0,1,0,0,1,0,1
1,0,1,1,0,1,1,9
1,0,1,1,1,1,1,9
1,1,1,1,0,1,1,9
1,0,1,1,0,1,1,9
0,1,1,0,0,1,1,9
0,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,0,0,1,0,9
1,1,1,1,0,1,0,9
1,0,1,1,0,1,1,9
1,1,1,1,0,1,1,9
0,1,1,1,0,1,0,9
1,1,0,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,0,9
1,1,1,1,1,1,1,9
1,1,1,1,0,0,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
1,1,1,1,1,1,1,9
1,1,0,0,0,1,1,9
1,1,1,1,1,1,1,9
1,1,1,1,0,1,0,9
1,1,1,1,0,1,1,9
0,1,1,1,0,1,1,9
1,1,1,1,0,1,1,9
0,0,1,1,0,1,1,3
1,0,0,1,0,1,1,3
1,0,1,1,0,1,1,3
0,0,1,0,0,1,1,3
1,0,1,1,1,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,0,0,1,1,3
1,0,1,1,0,1,1,3
1,0,0,1,1,1,1,3
1,0,1,1,0,1,0,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,0,1,0,1,1,3
1,0,1,1,0,0,1,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,1,0,0,1,1,3
1,0,1,1,0,1,0,3
1,0,1,1,0,1,1,3
1,0,1,1,0,1,1,3
1,1,1,1,0,1,1,3
1,0,0,1,0,1,1,3
1,0,1,1,0,1,1,3
1,0,0,1,0,1,1,3
1,1,1,0,0,1,1,3
0,1,1,1,0,1,1,4
0,1,1,1,1,0,0,4
0,1,1,1,0,1,0,4
0,1,1,0,0,1,0,4
0,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
0,1,1,1,1,0,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,0,0,4
1,0,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,0,0,1,0,4
0,1,1,1,0,1,0,4
1,1,1,0,0,1,0,4
0,1,1,0,0,1,0,4
1,1,1,1,0,1,0,4
0,1,1,0,0,0,0,4
0,1,1,1,1,1,1,4
0,1,1,1,1,1,1,4
0,1,1,1,0,1,0,4
0,0,1,1,1,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,0,0,1,0,1,1,4
1,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,0,1,1,0,1,0,4
0,1,1,0,0,1,0,4
0,1,1,1,1,1,1,4
0,1,1,1,1,1,1,4
0,1,0,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
0,1,1,1,0,1,0,4
1,1,0,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
0,0,1,1,1,0,0,2
1,0,1,1,1,1,1,2
1,0,0,1,1,0,1,2
1,0,1,0,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,0,1,0,2
1,0,1,1,1,0,1,2
1,0,1,0,1,0,1,2
1,0,1,1,0,0,1,2
1,0,1,1,1,0,1,2
1,0,1,1,1,0,0,2
1,0,1,1,1,0,1,2
1,0,1,1,1,1,1,2
1,0,1,0,1,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,1,2
1,0,1,1,0,0,0,2
1,0,1,1,1,0,1,2
0,0,0,1,0,0,0,2
1,1,0,1,1,0,0,2
1,0,1,1,1,0,1,2
1,0,1,1,0,0,1,2
1,0,1,1,1,1,1,2
1,0,1,1,1,0,0,2
0,0,1,1,1,0,1,2
1,0,1,1,1,0,1,2
1,0,0,1,0,0,1,5
1,1,0,1,0,1,1,5
0,1,0,1,0,1,1,5
1,1,0,1,0,0,0,5
1,1,1,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,0,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
0,1,0,1,0,0,1,5
1,1,0,1,0,1,1,5
1,0,0,1,1,1,1,5
1,1,0,1,0,1,1,5
1,0,0,1,1,1,0,5
1,1,0,1,0,1,1,5
1,1,1,1,0,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,0,0,1,5
1,1,0,1,1,1,1,5
1,1,1,1,0,1,1,5
0,1,1,1,0,0,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,1,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,1,0,1,1,5
1,1,0,0,0,1,1,5
1,1,1,1,1,1,1,8
1,1,0,0,1,1,1,8
1,0,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,0,1,1,0,1,8
1,1,1,1,1,1,1,8
0,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,0,8
1,1,1,1,1,1,1,8
1,1,1,1,0,1,1,8
0,1,1,1,1,1,1,8
1,1,0,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,0,8
1,1,1,0,1,1,1,8
1,1,1,1,1,1,0,8
1,1,1,1,1,0,1,8
0,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,0,1,8
1,1,1,1,1,1,1,8
1,1,0,1,1,1,1,8
1,1,0,1,0,1,1,8
1,1,1,1,0,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,1,1,1,1,8
1,1,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,1,0
1,1,1,0,1,1,1,0
1,0,1,0,0,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,0,0,1,1,1,0
1,0,1,0,1,1,1,0
0,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,0,0
1,1,1,1,1,1,1,0
1,1,1,0,1,0,1,0
0,1,1,0,0,1,1,0
1,1,1,1,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,1,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,0,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,0,1,0
1,1,1,0,1,1,1,0
1,1,1,0,1,1,1,0
1,0,0,0,1,1,1,0
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,0,1,1,0,1,0,7
1,0,1,0,0,1,0,7
1,1,1,0,0,1,0,7
1,0,1,1,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,1,7
1,0,1,0,0,0,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,1,1,1,0,0,0,7
1,0,1,0,0,1,0,7
0,0,1,0,0,1,1,7
1,0,1,1,0,1,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,0,0,7
1,0,1,0,0,1,0,7
1,0,0,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,0,1,0,1,1,0,7
0,0,1,0,0,1,0,7
1,0,1,0,0,1,1,7
1,0,1,0,0,1,0,7
1,0,1,0,0,1,0,7
1,0,1,0,0,0,0,7
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,0,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,0,1,6
1,1,0,1,1,1,1,6
1,0,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,0,6
1,1,0,0,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,1,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,1,1,6
1,1,0,1,1,0,1,6
1,1,0,1,1,1,1,6
1,1,0,0,1,1,1,6
1,1,0,1,1,0,1,6
1,1,0,1,1,1,1,6
